B1Y2H6	B1Y2H6
C3MDH9	B0CLJ2
Q46C16	Q46C16
P72811	P72811
Q3AKJ4	Q3AKJ4
Q3AKJ4	Q3AXB9
Q3AKJ4	A2CAX3
Q3AKJ4	A5GKJ5
Q3AKJ4	Q0I9X0
Q5CHB0	Q5CHB0
Q220S2	Q220S2
A4SV64	A4SV64
P98002	P98002
P98002	P33517
O47491	O47491
Q06475	Q06475
Q5P9Y8	Q5P9Y8
Q5P9Y8	B9KGP6
Q11KD2	Q11KD2
Q0AMG9	Q0AMG9
Q07217	Q07217
B8NUK6	B8NUK6
B8NUK6	Q4WNT5
O04147	O04147
Q04661	Q04661
A0A384K4T0	A0A384K4T0
Q4L976	Q4L976
O85042	O85042
C1KX11	C1KX11
Q39547	Q39547
Q4IPB3	Q4IPB3
C5FMD4	C5FMD4
Q21PS1	Q21PS1
P35176	P35176
P57497	P57497
P56860	P56860
B9JB95	B9JB95
Q05523	Q05523
A8ET60	A8ET60
Q28WG2	Q28WG2
Q28WG2	Q5LMK7
B2A3B2	B2A3B2
A5GHT4	A5GHT4
A5GHT4	A5GQ13
A5GHT4	Q0IE16
A5GHT4	Q3B0T8
A5GHT4	A2C5R9
A5GHT4	Q46ID7
Q5PA93	Q5PA93
A0RMR7	A0RMR7
A0RMR7	A7GWC2
Q3IT15	Q3IT15
P05035	P05035
Q1MMI1	Q1MMI1
Q1MMI1	B3PYJ5
Q1MMI1	Q2KDF0
Q1MMI1	B5ZYG6
Q1MMI1	B9J7M8
Q1MMI1	B2S9C4
Q1MMI1	P58638
A6VJ20	A6VJ20
A6VJ20	A4FZB7
Q4KHH4	Q4KHH4
Q4KHH4	O82852
Q4KHH4	Q21HH4
Q4KHH4	A4VJS3
B6YXE5	B6YXE5
B6YXE5	C5A3Q1
B6YXE5	Q5JFZ7
Q4QN84	Q4QN84
Q4QN84	A5UGX0
Q4QN84	Q65UX5
O74489	O74489
C3KTD1	C3KTD1
C3KTD1	A6LTM8
C3KTD1	B2TMZ3
C3KTD1	A5I6F0
C3KTD1	C1FKG0
C3KTD1	A7GHT7
C3KTD1	B1L0B1
C3KTD1	Q0TP14
C3KTD1	Q0SRN4
A5FMM5	A5FMM5
Q60AZ8	Q60AZ8
C6E7E7	C6E7E7
C6E7E7	A5G8S2
C6E7E7	B9M0M7
Q5HR20	Q5HR20
Q5HR20	Q2G1X6
Q5HR20	Q2YSL9
Q5HR20	A8YZY3
Q5HR20	Q4L4D0
Q5HR20	A7WZJ4
Q5HR20	Q2FIS8
O59602	O59602
Q3AHI8	Q3AHI8
Q3AHI8	A2C6W2
Q43922	Q43922
P62490	P62490
P62490	Q5ZJN2
P62490	P62491
P62490	P62492
P62490	P62493
P62490	P22129
P62490	Q15907
Q46E16	Q46E16
B0KKS4	B0KKS4
B0KKS4	A5W5E7
B0KKS4	Q1IC21
O82189	O82189
P52574	P52574
P26396	P26396
Q5AX45	Q5AX45
Q5AX45	Q00019
Q5AX45	Q0CVU1
Q0DWT8	Q0DWT8
O25029	O25029
O25029	B9XXL6
P57250	P57250
A4QQ05	A4QQ05
Q5HSX7	Q5HSX7
Q5HSX7	A7H5G3
Q5HSX7	A1W162
B1GZH1	B1GZH1
P37426	P37426
P37426	P57276
P37426	P00452
P38145	P38145
Q057H3	Q057H3
P51555	P51555
P84208	P84208
Q566N0	Q566N0
P22140	P22140
Q4WES9	Q4WES9
P0C119	P0C119
P0C119	Q2JZQ2
P30855	P30855
A1K4R2	A1K4R2
A0Q0A2	A0Q0A2
Q2FM20	Q2FM20
Q5R9C1	Q5R9C1
Q5R9C1	Q16875
Q5R9C1	P70265
Q5R9C1	P26285
Q5R9C1	Q5NVT1
Q5R9C1	Q16877
Q5R9C1	Q4R8B6
Q5R9C1	P25114
Q5R9C1	P07953
P25093	P25093
P25093	A5PKH3
P25093	P35505
P70720	P70720
B2S524	B2S524
B2S524	A4YW84
B2S524	A6X1X8
B2S524	Q57DX4
B2S524	A9MAF6
B2S524	A6U7Q5
B2S524	A5VPV8
B2S524	B0CLA2
B2S524	Q11J83
B2S524	B9JV87
B2S524	A9IVB4
Q24U40	Q24U40
Q2GDD8	Q2GDD8
C1CCI2	C1CCI2
C1CCI2	A3CQ60
C1CCI2	A8AYW5
C1CCI2	B1I9L1
C1CCI2	P0A3C5
Q11II9	Q11II9
A8GLS1	A8GLS1
A8GLS1	C3PM37
A8GLS1	A8GUZ3
A8GLS1	A8EX77
A8GLS1	Q4UNK0
A8GLS1	P32204
A8GLS1	A8GQC9
B7SB91	B7SB91
Q2FQ74	Q2FQ74
Q2FQ74	A3CUG8
Q2FQ74	B8GGX9
P0CY52	P0CY52
Q5YRY5	Q5YRY5
P49594	P49594
Q4J6Z4	Q4J6Z4
Q4J6Z4	A4YER6
Q04HB6	Q04HB6
P9WNE0	P9WNE0
P9WNE0	A0QLV0
P9WNE0	P9WNE1
P9WNE0	D5UYN8
Q54N80	Q54N80
P36367	P36367
A8FD38	A8FD38
A8FD38	Q65JS5
A8FD38	A7Z4J3
Q3ATB5	Q3ATB5
B1L8W7	B1L8W7
P29703	P29703
A1R228	A1R228
A8ESH8	A8ESH8
B0RDR2	B0RDR2
B0RDR2	A5CU17
B9KZ23	B9KZ23
O04862	O04862
B2IE81	B2IE81
O54408	O54408
P26397	P26397
Q5QMN3	Q5QMN3
Q1WRE4	Q1WRE4
Q1M5X7	Q1M5X7
Q1M5X7	A6X4W8
Q49YJ7	Q49YJ7
Q49YJ7	Q5HNE3
B6YXC8	B6YXC8
Q4J963	Q4J963
B0K9N5	B0K9N5
P36602	P36602
Q2YKV1	Q2YKV1
Q2YKV1	P61711
Q2YKV1	P61712
B0RC64	B0RC64
P86926	P86926
Q087X5	Q087X5
Q087X5	B8E5Q5
Q087X5	A9L1I5
Q087X5	B0TUZ2
Q087X5	A3QB25
Q087X5	A4Y9Y4
Q087X5	A0L0G4
Q087X5	Q0HM20
Q12PZ8	Q12PZ8
A1K598	A1K598
A1K598	Q5P1G0
A0M4S0	A0M4S0
A5FE53	A5FE53
Q04HG9	Q04HG9
Q2RV09	Q2RV09
B3E3Q8	B3E3Q8
Q21JW7	Q21JW7
Q5P1Y4	Q5P1Y4
A5G209	A5G209
A5G209	Q5FUA9
A5G209	Q0BV08
A5G209	Q2RP22
Q1J0P9	Q1J0P9
Q2SDW1	Q2SDW1
Q5XIK5	Q5XIK5
Q5XIK5	Q2PFU6
B0BP37	B0BP37
B0BP37	A3N0B9
B0BP37	B3GXJ4
Q57E81	Q57E81
Q57E81	C0RI03
Q57E81	P66664
G3XCR8	G3XCR8
B2S448	B2S448
B2S448	O83787
Q07G42	Q07G42
Q0VQE3	Q0VQE3
Q4JV11	Q4JV11
Q0AMK3	Q0AMK3
Q2G794	Q2G794
Q2FHJ4	Q2FHJ4
Q2FHJ4	Q2FZ38
Q2FHJ4	A5ISC9
Q2FHJ4	Q2YXM2
Q2FHJ4	Q5HGI8
Q2FHJ4	P66675
Q2FHJ4	P66676
Q2FHJ4	A8Z3S4
A0LMM5	A0LMM5
Q5KWF4	Q5KWF4
A5EXP9	A5EXP9
A9W185	A9W185
A5CX29	A5CX29
Q5JDH8	Q5JDH8
A6UNQ2	A6UNQ2
A6UNQ2	A4FXV4
A5UJF1	A5UJF1
F9WWF1	F9WWF1
D2RW30	D2RW30
P9WMX3	P9WMX3
P9WMX3	P9WMX2
A9IMI9	A9IMI9
B8F3S8	B8F3S8
B8F3S8	B3H0J4
B8F3S8	A3MZ67
C3LC26	C3LC26
C3LC26	B7HTX9
C3LC26	A7GUA1
Q221N8	Q221N8
Q1LSK5	Q1LSK5
Q1LSK5	A1JIW5
Q1LSK5	A7ZS72
Q1LSK5	B7LHN9
Q1LSK5	A7FMS6
Q1LSK5	B7NKP3
Q1LSK5	Q1CC03
Q1LSK5	B7N0V9
Q1LSK5	Q32BF7
Q1LSK5	A9R599
Q1LSK5	B7M082
Q1LSK5	Q0T0A8
Q1LSK5	A4TRI7
Q1LSK5	C4ZSR5
Q1LSK5	Q3YX65
Q1LSK5	A1AG79
Q1LSK5	Q0TCT4
Q1LSK5	P31120
Q1LSK5	B7NDG0
Q1LSK5	B1LFS6
Q1LSK5	Q1R6G2
Q1LSK5	A8AQ65
Q1LSK5	A4WEY7
Q1LSK5	B7LR43
Q1LSK5	A3N2A2
Q1LSK5	C6DKI6
Q1LSK5	B5F6U4
Q1LSK5	A9MP31
Q1LSK5	B5FI19
Q1LSK5	B5REP2
Q1LSK5	A7MIM5
Q1LSK5	B4T705
Q1LSK5	B4TWE3
Q1LSK5	A8G903
Q1LSK5	A5UC76
Q1LSK5	P45164
Q5NRH4	Q5NRH4
Q2JVA4	Q2JVA4
A5ETJ9	A5ETJ9
A1KU16	A1KU16
A1KU16	Q5F8H5
Q5P7S1	Q5P7S1
B8GL43	B8GL43
Q04RQ6	Q04RQ6
B0UVX7	B0UVX7
C4LGQ3	C4LGQ3
A9KQC2	A9KQC2
A5VE44	A5VE44
P37965	P37965
Q189A6	Q189A6
Q21GQ5	Q21GQ5
E1V8I1	E1V8I1
A6VXM6	A6VXM6
A6VXM6	A5G0E0
O05508	O05508
Q3ZYV3	Q3ZYV3
Q3ZYV3	A5FPU2
Q38Z74	Q38Z74
Q38Z74	Q5FMJ3
A5EV29	A5EV29
A0AKV8	A0AKV8
A0AKV8	C1KXG0
Q57RI5	Q57RI5
Q57RI5	A7ZJD0
Q57RI5	B4TC26
Q57RI5	B7ULM8
Q57RI5	Q5PG75
Q57RI5	B7MGL2
Q57RI5	C0PWW0
Q57RI5	B7LAF6
Q57RI5	A8GBA2
Q57RI5	B5YRF2
Q57RI5	B2TUY6
Q57RI5	B7NNH7
Q57RI5	Q32IH0
Q57RI5	B7MPN9
Q57RI5	Q0T6Y5
Q57RI5	B7M6B8
Q57RI5	P62710
Q57RI5	B1X786
Q57RI5	A1A8Z8
Q57RI5	Q0TJU6
Q57RI5	P62708
Q57RI5	B1IXY1
Q57RI5	P62707
Q57RI5	B6I7Q9
Q57RI5	A1JRT1
Q57RI5	B1LM46
Q57RI5	Q1C964
Q57RI5	B2VBS6
Q57RI5	Q1CFN6
Q57RI5	B7LK04
Q57RI5	A4TNS2
Q57RI5	Q66D83
Q57RI5	A8AJ40
Q57RI5	B1JSU1
Q57RI5	A6T6I3
A9KPF4	A9KPF4
A0KEG8	A0KEG8
P38143	P38143
P55793	P55793
A0RXB3	A0RXB3
P77891	P77891
Q4UP08	Q4UP08
A1UTY3	A1UTY3
A1UTY3	Q2YIH9
A1UTY3	A9MDU4
A1UTY3	C0RKC7
A1UTY3	A5VTT4
A1UTY3	A9WXP3
Q0TP27	Q0TP27
Q4R646	Q4R646
Q03EY9	Q03EY9
Q03EY9	Q03QI3
Q47QV9	Q47QV9
A7I3S8	A7I3S8
Q3IRL7	Q3IRL7
B0BX92	B0BX92
B0BX92	A8EZ69
A4YE96	A4YE96
Q14HL6	Q14HL6
Q14HL6	B0U0E8
Q14HL6	A7NCQ3
Q14HL6	B2SGM9
Q14HL6	A0Q693
Q14HL6	Q0BLI7
Q14HL6	A4IXU1
C1DA02	C1DA02
C1DA02	B7V9C9
C1DA02	Q1I4G7
C1DA02	Q4K5H6
C1DA02	Q3K6B0
C1DA02	B0KJW8
C1DA02	B1J150
C1DA02	Q4ZN90
C1DA02	A4VQZ0
C1DA02	A4XYW8
C1DA02	Q3SG58
C1DA02	A9M162
C1DA02	B4RNT1
C1DA02	A1KS07
B2A6C2	B2A6C2
B1AJ10	B1AJ10
O14000	O14000
Q46F18	Q46F18
Q1RJZ5	Q1RJZ5
Q4J8M3	Q4J8M3
A9N9Z2	A9N9Z2
A9N9Z2	A9KGU5
Q1CXV1	Q1CXV1
A6VNB3	A6VNB3
A6VNB3	Q0I3B0
A6VNB3	B0UUF1
A6VNB3	B7LPH0
A6VNB3	Q65SX3
A6VNB3	Q4QL12
A6VNB3	A5UCH1
A6VNB3	P43832
A6VNB3	Q3Z2Q4
A6VNB3	P11875
A6VNB3	B1LCZ5
A6VNB3	B2U4X7
A6VNB3	Q322J5
A6VNB3	A7ZN02
A6VNB3	B7M2G7
A6VNB3	C4ZQG0
A6VNB3	B1J0L2
A6VNB3	P0CL51
A6VNB3	B5F3I0
A6VNB3	Q57N89
A6VNB3	B5FSM1
A6VNB3	B5R8C8
A6VNB3	B4SVG0
A6VNB3	Q5PMZ2
A6VNB3	A9MUA9
A6VNB3	B5BH46
A6VNB3	B2VJB6
A6VNB3	A7MEC0
A6VNB3	Q2NTK2
A6VNB3	A1JRM9
A6VNB3	A9QYY6
A6VNB3	B5FC42
A6VNB3	Q5E6L2
A6VNB3	Q32H69
A6VNB3	Q0T3Q1
A6VNB3	B7VI24
A6VNB3	C5B832
A6VNB3	B7USQ3
A6VNB3	B5YR22
A6VNB3	A8AFG5
A6VNB3	A8A178
Q5FIQ9	Q5FIQ9
P47618	P47618
A5WC58	A5WC58
A4VYA3	A4VYA3
A4VYA3	Q1JJG7
A4VYA3	A2RGX5
A4VYA3	Q48QT3
A4VYA3	Q54869
A4VYA3	P0DG27
A4VYA3	C1CH08
A4VYA3	Q04I94
A4VYA3	B5E387
A4VYA3	Q1J9B9
O81983	O81983
O81983	Q39230
C3NMY1	C3NMY1
Q2NE13	Q2NE13
Q1AWG4	Q1AWG4
C5CUU2	C5CUU2
C5CUU2	A2SH07
C5CUU2	A1TR39
C5CUU2	Q4UW57
C5CUU2	B4SQH4
C5CUU2	B0RRG9
C5CUU2	Q2P0Z5
C5CUU2	Q5GXY0
A9BIJ7	A9BIJ7
O67632	O67632
Q316W7	Q316W7
Q3MEN7	Q3MEN7
O68557	O68557
O34104	O34104
P51123	P51123
Q3MIB4	Q3MIB4
Q3MIB4	Q5R6M5
Q3MIB4	Q2TAF8
Q2NEP8	Q2NEP8
A0A384JJE6	A0A384JJE6
F9US27	F9US27
A9KTB9	A9KTB9
Q2LVL6	Q2LVL6
B4SJY1	B4SJY1
B4SJY1	B2FPA9
B4SJY1	B0RV99
B4SJY1	Q3BXE6
B4SJY1	B2SNZ9
B4SJY1	Q5GW46
A7NAP3	A7NAP3
A7NAP3	Q2A4P6
A7NAP3	Q0BN22
A4SYU1	A4SYU1
A0LPR5	A0LPR5
B2SD13	B2SD13
B2SD13	Q2YIH4
B2SD13	A9MDX1
B2SD13	P65325
B2SD13	A9WXS0
Q60B49	Q60B49
Q20XB0	Q20XB0
A1WSH4	A1WSH4
F4KA51	F4KA51
C6BV90	C6BV90
O52213	O52213
Q1CN15	Q1CN15
Q1CN15	A1JJ55
Q1CN15	A7FMJ7
Q1CN15	Q0WJP9
P72097	P72097
P23147	P23147
P23147	P19840
A1SZZ2	A1SZZ2
A1SZZ2	B1KD47
P12067	P12067
P12067	Q659U1
P12067	P79239
P12067	P67977
P12067	P67980
P12067	P67979
P12067	P67978
P12067	P17897
P12067	P08905
P12067	P81709
P12067	Q05820
P12067	P12069
P12067	P80190
P12067	P79687
P12067	P37712
P12067	P61631
P12067	P61634
P12067	P61626
P12067	P79180
P12067	P30201
P12067	P79806
P12067	P79811
P12067	P11941
Q4JAQ3	Q4JAQ3
P44991	P44991
O95382	O95382
Q3AEJ6	Q3AEJ6
P20793	P20793
P47299	P47299
A0ZSF4	A0ZSF4
Q0VD59	Q0VD59
Q2QMG2	Q2QMG2
Q5FWY4	Q5FWY4
Q5FWY4	Q498J7
A5E5C5	A5E5C5
A5E5C5	Q59M70
P22133	P22133
Q2J7E7	Q2J7E7
A6LB35	A6LB35
Q64XV8	Q64XV8
Q5ZIA0	Q5ZIA0
A8FED0	A8FED0
A8FED0	Q65IA5
A3CNR2	A3CNR2
A3CNR2	A8AWY1
A3CNR2	Q04JH2
A3CNR2	B2IR95
A3CNR2	C1CLS5
A3CNR2	C1CSJ6
G4RES5	G4RES5
Q5HV18	Q5HV18
Q325U1	Q325U1
Q325U1	Q2NRN5
Q325U1	Q57T09
Q325U1	Q5PID0
Q325U1	P63356
Q325U1	Q0TLD2
Q325U1	Q1CAK4
Q325U1	P63355
Q325U1	P30750
Q325U1	Q1RFY9
Q325U1	Q1CFH7
Q325U1	Q667L9
P28777	P28777
Q5V145	Q5V145
B5YH80	B5YH80
Q3AEF5	Q3AEF5
B2VK88	B2VK88
Q3ITN9	Q3ITN9
P35170	P35170
Q2NVB6	Q2NVB6
A6W284	A6W284
O50593	O50593
O50593	P08690
O50593	P52145
Q5ZK90	Q5ZK90
Q5ZK90	Q148F3
Q641Z7	Q641Z7
Q641Z7	P70158
A6UVA8	A6UVA8
Q5AR54	Q5AR54
A4SEI8	A4SEI8
A4SEI8	B3ECP2
A4SEI8	Q3B425
A4SEI8	B3QN91
A4SEI8	B4S7R9
Q033U7	Q033U7
A3FIN4	A3FIN4
Q08853	Q08853
O82353	O82353
C5BKJ5	C5BKJ5
C5BKJ5	A7N0Y1
C5BKJ5	P12986
C5BKJ5	A1U7H4
C5BKJ5	Q48BG5
C5BKJ5	Q494C3
C5BKJ5	A7FPE0
C5BKJ5	A4TSJ3
C5BKJ5	A5WBA3
C5BKJ5	Q3K441
C5BKJ5	Q0A4M8
C5BKJ5	A4VS62
C5BKJ5	P57124
C5BKJ5	B8D8H3
C5BKJ5	A6W3S8
C5BKJ5	C4LDW0
C5BKJ5	P43715
C5BKJ5	Q4QN64
C5BKJ5	A1WZT1
C5BKJ5	A9KBF7
C5BKJ5	Q5X0P3
C5BKJ5	Q5ZRA1
C5BKJ5	Q5WSG8
C5BKJ5	B0UWG5
C5BKJ5	A1TJ41
C5BKJ5	A2SC70
C5BKJ5	B9MBA3
C5BKJ5	A9BPU7
C5BKJ5	Q0K5M7
C5BKJ5	Q46VY0
C5BKJ5	Q31DM0
C5BKJ5	Q1GXN0
C5BKJ5	Q477Z1
C5BKJ5	B0TWS7
C5BKJ5	Q14K06
C5BKJ5	B2SEY1
C5BKJ5	B4EEY9
C5BKJ5	Q0BJL5
C5BKJ5	Q39KX6
C5BKJ5	B1JSV7
C5BKJ5	Q5P4E2
C5BKJ5	Q1BRB0
C5BKJ5	A7N6Q5
C5BKJ5	A4JA35
C5BKJ5	A1K1S2
C5BKJ5	A4SUT4
C5BKJ5	A3MQJ9
C5BKJ5	B1XSD4
C5BKJ5	Q62FR5
C5BKJ5	Q63PI0
C5BKJ5	Q2STE9
C5BKJ5	Q1LHL0
C5BKJ5	Q5H4Y4
C5BKJ5	B7I1W4
C5BKJ5	B0VNK4
C5BKJ5	B4SJR9
C5BKJ5	B2FHY8
C5BKJ5	Q5F4Z0
C5BKJ5	B4RJG0
C5BKJ5	A1KW11
C5BKJ5	Q4UQF4
C5BKJ5	B0RWC2
C5BKJ5	Q2P7Q4
C5BKJ5	B7H294
C5BKJ5	B2SQB0
C5BKJ5	B3H2P3
C5BKJ5	Q07VU4
C5BKJ5	A9MJR9
C5BKJ5	Q57HX9
C5BKJ5	B4TAX2
C5BKJ5	B7LK77
C5BKJ5	B4SYD1
C5BKJ5	Q5PKX2
C5BKJ5	B5XZM4
C5BKJ5	A9MXA6
C5BKJ5	C0Q2N2
C5BKJ5	B5BIN6
C5BKJ5	B4TN31
C5BKJ5	B8EDV0
C5BKJ5	A8ACN6
C5BKJ5	A3DAR4
C5BKJ5	Q12HQ1
C5BKJ5	B0TQF4
C5BKJ5	Q15MU4
C5BKJ5	A8HAG3
C5BKJ5	A4YCH8
C5BKJ5	A0L2S8
C5BKJ5	B7UMJ7
C5BKJ5	A8G1W5
C5BKJ5	B7L882
C5BKJ5	Q0HD79
C5BKJ5	P0ABB6
C5BKJ5	Q0HPG1
C5BKJ5	B5YXD6
C5BKJ5	B1KQ34
C5BKJ5	C4ZZ10
C5BKJ5	Q31UN2
C5BKJ5	A1AHR4
C5BKJ5	Q0SYU4
C5BKJ5	Q0TAX7
C5BKJ5	A7MMW9
C5BKJ5	P0ABB4
C5BKJ5	B7NF48
C5BKJ5	B1LL59
C5BKJ5	B5EYZ6
C5BKJ5	B8GRB8
C5BKJ5	A5EXL4
C5BKJ5	Q3J6N1
P46100	P46100
Q39B00	Q39B00
B5EGQ4	B5EGQ4
Q5CB04	Q5CB04
Q5CB04	O35789
Q5CB04	Q5CB03
P19409	P19409
P55979	P55979
Q5QMT0	Q5QMT0
Q59437	Q59437
P46844	P46844
P46844	P53004
Q31GL4	Q31GL4
A5V9E5	A5V9E5
B5YGC5	B5YGC5
B8GZV6	B8GZV6
B8ENH3	B8ENH3
Q15P45	Q15P45
P60974	P60974
P30015	P30015
G2IQQ8	G2IQQ8
P24640	P24640
P24640	Q02104
A1K1U7	A1K1U7
A1K1U7	Q1GYC1
A1K1U7	Q0AI05
A1K1U7	A1VIT9
A1K1U7	Q3JWL1
A1K1U7	A4G9C6
A1K1U7	A1W2S7
A1K1U7	Q2L1D8
A1K1U7	B2UE01
A1K1U7	C5CP21
A1K1U7	A2S5Y9
A1K1U7	A1V016
A1K1U7	Q47JD5
Q5X703	Q5X703
A4XHV1	A4XHV1
Q31F43	Q31F43
Q146F2	Q146F2
Q146F2	Q39CJ1
Q146F2	Q0BBH9
Q146F2	A1V017
Q146F2	B1JZ91
Q146F2	A3N575
Q146F2	Q63XX6
Q146F2	A4JI72
Q146F2	B1YNM7
Q146F2	A0KAV9
Q146F2	B2JC45
Q3M698	Q3M698
P71778	P71778
Q0VFH3	Q0VFH3
O87576	O87576
O87576	P23930
P78025	P78025
Q06327	Q06327
A0A5J6BJT1	A0A5J6BJT1
P09848	P09848
P09848	P09849
P09848	Q02401
I3VRU1	I3VRU1
B1XTV5	B1XTV5
A0LPR7	A0LPR7
Q31G55	Q31G55
B0TP70	B0TP70
B0TP70	A1S4Q3
B0TP70	Q085C9
B0TP70	A3QG90
B0TP70	A1RLL4
B0TP70	B1KNT0
Q2JLY8	Q2JLY8
Q1GZI1	Q1GZI1
Q131B2	Q131B2
A7MV09	A7MV09
F4HQ22	F4HQ22
B7J235	B7J235
B7J235	Q0SN37
B7J235	O51425
B3R6E9	B3R6E9
A9W565	A9W565
A7ZLX4	A7ZLX4
A7ZLX4	B1XEA5
A7ZLX4	A8A070
A7ZLX4	A6TEB4
A7ZLX4	Q57HD9
A7ZLX4	Q5PJE3
A7ZLX4	A9MZG5
A7ZLX4	A1JJ51
A7ZLX4	B2K3F7
A7ZLX4	Q66EZ3
A7ZLX4	B1JLQ4
O07051	O07051
P12744	P12744
P37156	P37156
B9KZP8	B9KZP8
P83104	P83104
Q05514	Q05514
Q17058	Q17058
Q0JKM9	Q0JKM9
P47723	P47723
Q59509	Q59509
H1UBK1	H1UBK1
Q3TZ87	Q3TZ87
Q42777	Q42777
P51616	P51616
P51616	O26867
Q4P7Y8	Q4P7Y8
P71422	P71422
P37228	P37228
Q46BQ2	Q46BQ2
Q5WZ49	Q5WZ49
Q5WZ49	Q5X7P8
Q5WZ49	Q5ZY77
Q5YYD2	Q5YYD2
Q5YYD2	A4T9W3
Q5YYD2	B2HR33
Q5YYD2	A1UH95
Q5YYD2	P9WPY7
Q5YYD2	A0PP80
Q5YYD2	Q4JVZ7
Q5YYD2	A4FKC1
Q5YYD2	A6WCT0
B3LGE9	B3LGE9
B3LGE9	C7GIN5
B3LGE9	A6ZY89
A4IQ78	A4IQ78
Q12X18	Q12X18
A9KBB1	A9KBB1
A9KBB1	B6J3I1
B2USB4	B2USB4
B2USB4	B6JKL2
Q46LM0	Q46LM0
P73997	P73997
B0R338	B0R338
B3PGZ3	B3PGZ3
B1YKR3	B1YKR3
Q39KC5	Q39KC5
Q39KC5	Q46WJ3
B4S8Z9	B4S8Z9
A7FLH5	A7FLH5
A7FLH5	B2K6Q9
A7FLH5	A9R2W3
A7FLH5	Q1CLC0
A7FLH5	B1JIG7
A9MAS9	A9MAS9
A1U695	A1U695
A1U695	Q48DI3
A1U695	A4VPK2
A1U695	B3PBH2
A1U695	Q4ZN43
A1U695	C5BP61
A1U695	Q2S9M0
Q46366	Q46366
Q08CJ7	Q08CJ7
O95671	O95671
E7FHH1	E7FHH1
Q0W7E0	Q0W7E0
Q57564	Q57564
A9KHL4	A9KHL4
A9KHL4	C4Z9C9
A9KHL4	C4Z4C1
A9EN94	A9EN94
P0DO25	P0DO25
P35315	P35315
A7X0T9	A7X0T9
A7X0T9	Q5HH31
A7X0T9	P0C5Z8
Q313V8	Q313V8
Q313V8	B8DRD0
Q313V8	C4XI08
Q313V8	A1VFJ3
Q5KX35	Q5KX35
Q5KX35	B1YLA2
Q5KX35	B7GH89
Q5KX35	Q5WHB2
Q5KX35	C3LKV7
Q5KX35	A0RIQ2
Q5KX35	B7JN03
Q5KX35	A7GSX5
Q5KX35	C1L2Z7
Q5KX35	A9VH61
B1YL84	B1YL84
A6LIB3	A6LIB3
A7TTT5	A7TTT5
A7TTT5	A6ZRX0
A6SFV4	A6SFV4
A6SFV4	Q4I662
B5Y8K7	B5Y8K7
Q480H7	Q480H7
Q480H7	A0KKF9
Q480H7	A4SML2
Q480H7	B8E961
Q480H7	A9L4F3
Q480H7	Q081H6
Q480H7	A3QD95
Q480H7	A0KW27
Q480H7	A1RIY3
Q480H7	Q3IL08
P04193	P04193
Q54UF3	Q54UF3
Q5L510	Q5L510
B4EYT8	B4EYT8
B4EYT8	Q489Q8
B4EYT8	Q1C1V3
B4EYT8	Q2NWR2
B4EYT8	B2K124
B4EYT8	A4TS20
B4EYT8	Q66FP1
B4EYT8	B1JJL0
B4EYT8	Q2S9R0
B4EYT8	A7ZUL3
B4EYT8	B7UPF2
B4EYT8	B7MIY3
B4EYT8	B5Z093
B4EYT8	P57964
B4EYT8	B7NRT0
B4EYT8	C6DHS9
B4EYT8	B7N2J9
B4EYT8	B7M7Q6
B4EYT8	A8A797
B4EYT8	Q0I5E2
B4EYT8	A1AIG8
B4EYT8	B0US07
B4EYT8	Q0TA68
B4EYT8	A3MYI4
B4EYT8	P29680
B4EYT8	B0BS17
B4EYT8	Q1R5W3
B4EYT8	B5F1I0
B4EYT8	A6VQT2
B4EYT8	C5BHE8
B4EYT8	Q5QVW3
B4EYT8	A9MHD2
B4EYT8	A4SJ51
B4EYT8	A4W5C0
B4EYT8	B5FQL2
B4EYT8	B2VG77
B4EYT8	B5XYE1
B4EYT8	B5QYF2
B4EYT8	Q5E249
B4EYT8	B7LUK5
B4EYT8	Q5PKA3
B4EYT8	A5F3N0
B4EYT8	A3CZN2
B4EYT8	Q48PG2
B4EYT8	Q12S16
B4EYT8	Q15ZB1
B4EYT8	A3QIJ0
B4EYT8	B1KN91
B4EYT8	B2TWI4
B4EYT8	Q32AH0
B4EYT8	Q3YUY7
B4EYT8	Q3KJ97
B4EYT8	Q02EY3
B4EYT8	Q1IGA3
B4EYT8	Q4KJI4
B4EYT8	A6VDF5
B4EYT8	Q21H88
B4EYT8	B0KN28
B4EYT8	Q31JF4
B4EYT8	B3PDU1
B4EYT8	Q0A4Y2
B4EYT8	Q1R1C8
B4EYT8	C4K8F9
B5YK82	B5YK82
B8DVN7	B8DVN7
B5EBQ4	B5EBQ4
B5EBQ4	C6DZK9
Q03QZ9	Q03QZ9
A1AU58	A1AU58
A6UB80	A6UB80
A6UB80	A6WZQ9
Q3AV89	Q3AV89
Q4R4T6	Q4R4T6
B8D821	B8D821
C5BF17	C5BF17
C5BF17	Q2NQQ4
C5BF17	C6DFR5
C5BF17	Q1C2X9
C5BF17	A7MPE9
C5BF17	A9R927
C5BF17	B5XNC4
C5BF17	Q1CCX6
C5BF17	A4TH23
C5BF17	Q664V4
C5BF17	B1JJH8
C5BF17	B7LHY3
C5BF17	P0A6K5
C5BF17	B5YT06
C5BF17	B1X6D9
C5BF17	A1AGH8
C5BF17	P0A6K4
C5BF17	P0A6K3
C5BF17	A9MN80
C5BF17	Q57J64
C5BF17	B5FJI2
C5BF17	A4WF95
C5BF17	B5R1E3
